DBMS_urnform,card_title,card_title_href,card_img_href,card_text,Description,Data Model,Query Interface,System Architecture,Website URL,Website,Source Code,Documentation,Tech Docs,Developer,Country of Origin,Start Year,End Year,Project Type,Programming Language,Written in,Supported Languages,Supported languages,Embeds / Uses,Licenses,Operating Systems,Blog URL,Twitter,Wikipedia URL,Wikipedia,Coding Agent,Tags,Crawl Error,Compression,Storage Architecture,Storage Model,Checkpoints,Concurrency Control,Foreign Keys,Indexes,Isolation Levels,Joins,Logging,Query Compilation,Query Execution,Stored Procedures,Views,Derived From,Embedded,Storage Organization,Inspired By,Parallel Execution,Storage Format,Acquired By,Compatible With,Former Name,Governance,Hosted Systems,Data_Model_mapping,has_github_repo,github_repo_link,org_name,repo_name,open_source_license
3store,3store,https://dbdb.io/db/3store,https://dbdb.io/media/logos/3store.png.40x40_q85.png,,"3store is an RDF ""triple store"", written in C and backed by MySQL and Berkeley DB. It is an optimization and port of an older triple store (WebKBC). It provides access to the RDF data via RDQL or SPARQL over HTTP, on the command line or via a C API.",Triplestore / RDF,SPARQL,Shared-Everything,http://threestore.sourceforge.net,http://threestore.sourceforge.net,https://sourceforge.net/projects/threestore,http://threestore.sourceforge.net/documentation.php,http://threestore.sourceforge.net/documentation.php,Southampton University,GB,2003,2006,"Academic,Open Source",C,C,C,C,"Berkeley DB,MySQL",GPL v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RDF,,,,,Y
4store,4store,https://dbdb.io/db/4store,https://dbdb.io/media/logos/4store.png.40x40_q85.png,,4store is an open-source RDF triple store designed for storing and querying RDF data using SPARQL. It utilizes a columnar storage architecture and B-tree indexes to support distributed cluster deployments for managing large datasets.,Triplestore / RDF,SPARQL,Shared-Nothing,http://www.4store.org,http://www.4store.org,https://github.com/4store/4store,http://4store.org/trac/wiki/Documentation,http://4store.org/trac/wiki/Documentation,,GB,2009,2024,Open Source,C,C,,,,GPL v3,Linux,,,,,,,,,,Decomposition Storage Model (Columnar),,,,B+Tree,,,,,,,,,,,,,,,,,,,RDF,Y,4store/4store,4store,4store,Y
abhot,abhot,https://dbdb.io/db/abhot,,,"abhot (""A Brief History Of Time"") is a time-series database management system. It is a fork of KairosDB.",Relational,HTTP / REST,,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,https://github.com/quqiangsheng/abhot,,,,CN,2017,2017,"Academic,Open Source",Java,Java,,,,Apache v2,,,,,,,,,,,,,,,,,,,,,,,KairosDB,,,,,,,,,,,Relational,Y,quqiangsheng/abhot,quqiangsheng,abhot,Y
accumulo,Accumulo,https://dbdb.io/db/accumulo,https://dbdb.io/media/logos/accumulo.svg,,"Apache Accumulo is a sorted, distributed key-value store based on Google's Bigtable, HDFS and Apache Zookeeper. First designed and developed by a team in NSA, Accumulo's mission is to support big data storing and processing, but at the same time enforce fine-grained data access control. In particular, the team in NSA extends Bigtable in a way that Accumulo can control the access of individual data elements. Accumulo is currently an open source project under Apache v2 license.",Column Family / Wide-Column,"Custom API,Command-line / Shell",Shared-Disk,https://accumulo.apache.org/,https://accumulo.apache.org/,https://github.com/apache/accumulo,https://accumulo.apache.org/docs/2.x/,https://accumulo.apache.org/docs/2.x/,National Security Agency,US,2008,,Open Source,Java,Java,,,,Apache v2,,,@ApacheAccumulo,https://en.wikipedia.org/wiki/Apache_Accumulo,https://en.wikipedia.org/wiki/Apache_Accumulo,,,,Prefix Compression,Disk-oriented,N-ary Storage Model (Row/Record),,Multi-version Concurrency Control (MVCC),,,,,,,,Not Supported,Not Supported,,,,Cloud BigTable,,,,,,Apache Software Foundation,,Wide column,Y,apache/accumulo,apache,accumulo,Y
acebase,AceBase,https://dbdb.io/db/acebase,https://dbdb.io/media/logos/acebase.png.40x40_q85.png,,"AceBase is a document-oriented DBMS that supports pub/sub real-time notifications. It is designed for JavaScript environments (browsers, node.js).",Document / XML,Custom API,"Shared-Everything,Embedded",https://acebase.io,https://acebase.io,https://github.com/appy-one/acebase,https://github.com/appy-one/acebase/tree/master/docs,https://github.com/appy-one/acebase/tree/master/docs,Ewout Stortenbeker,NL,2018,,"Hobby,Open Source",TypeScript,TypeScript,TypeScript,TypeScript,,MIT License,Linux,,@AcebaseRealtime,,,,,,,,N-ary Storage Model (Row/Record),,,,Inverted Index (Full Text),,,,,,,,,,,,,,,,,,,Document,Y,appy-one/acebase,appy-one,acebase,Y
acedb,AceDB,https://dbdb.io/db/acedb,https://dbdb.io/media/logos/acedb.png.40x40_q85.png,,"AceDB (""a C. elegans database"") is a biological database for handling genomic data. It was developed by Richard M. Durbin and Jean Thierry-Mieg in 1989.",,,,http://www.acedb.org,http://www.acedb.org,https://github.com/richarddurbin/acedb,,,,GB,1989,2018,"Academic,Open Source",C,C,,,,"GPL v2,LGPL v2",,,,https://en.wikipedia.org/wiki/AceDB,https://en.wikipedia.org/wiki/AceDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,richarddurbin/acedb,richarddurbin,acedb,Y
actordb,ActorDB,https://dbdb.io/db/actordb,https://dbdb.io/media/logos/actordb.png.40x40_q85.png,,"ActorDB is a distributed relational SQL database, which is strongly consistent, massively concurrent, and horizontally scalable. It supports no single point of failure and uses no global read or write locks. To achieve the features provided, ActorDB uses Raft distributed consensus algorithm on top of an existing stable SQL database engine. ActorDB splits the dataset into small independent chunks, which is inspired by the ""Actor Model"". The database is designed for microservices, saas solutions, and (mobile) app backends.",Relational,"Custom API,SQL",Shared-Nothing,https://www.actordb.com,https://www.actordb.com,https://github.com/biokoda/actordb,https://www.actordb.com/docs-about.html,https://www.actordb.com/docs-about.html,Biokoda Limited,SI,2014,2022,"Commercial,Open Source",Erlang,Erlang,Erlang,Erlang,"LMDB,SQLite",Mozilla Public License,"Linux,macOS,Windows",,,,,,,,Naïve (Page-Level),In-Memory,Custom,Not Supported,"Multi-version Concurrency Control (MVCC),Not Supported",Supported,B+Tree,Serializable,Nested Loop Join,Physical Logging,,Tuple-at-a-Time Model,,Not Supported,,,Copy-on-Write / Shadow Paging,,,,,MySQL,,,,Relational,Y,biokoda/actordb,biokoda,actordb,Y
aerospike,Aerospike,https://dbdb.io/db/aerospike,https://dbdb.io/media/logos/aerospike2025.svg,,Aerospike is a distributed key-value DBMS. It is mainly targeted at OLTP workloads with large number of transactions. It is developed by a company of the same name.,"Key-Value,Document / XML,Vector",Custom API,Shared-Nothing,https://aerospike.com/,https://aerospike.com/,https://github.com/aerospike/aerospike-server,https://aerospike.com/docs,https://aerospike.com/docs,"Aerospike, Inc.",US,2009,,"Commercial,Open Source",C,C,"C,C#,C++,Go,PHP,Python,Ruby,Rust","C,C#,C++,Go,PHP,Python,Ruby,Rust",,AGPL v3,Linux,https://aerospike.com/blog,@aerospikedb,https://en.wikipedia.org/wiki/Aerospike_database,https://en.wikipedia.org/wiki/Aerospike_database,Copilot,,,"Aerospike supports LZ4, Snappy, and ZStandard compression. Compression is invoked when data is written to disk or SSD. Compression is only used to reduce size of data when kept on persistent storage. In-memory data is not compressed.",Hybrid,N-ary Storage Model (Row/Record),Non-Blocking,Not Supported,Not Supported,"B+Tree,Hash Table,Red-Black Tree",Serializable,Not Supported,Not Supported,,Tuple-at-a-Time Model,Supported,Not Supported,,,Copy-on-Write / Shadow Paging,,Inter-Operator (Vertical),,,,Citrusleaf,,,"Key-value,Document,Vector",Y,aerospike/aerospike-server,aerospike,aerospike-server,Y
agatedb,AgateDB,https://dbdb.io/db/agatedb,,,"AgateDB is an embeddable, persistent key-value DBMS written in Rust. It is built by Pingcap as a replacement for TiKV .",Key-Value,Custom API,Embedded,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,https://github.com/tikv/agatedb,,,PingCAP,CN,2019,2024,"Industrial Research,Open Source",Rust,Rust,Rust,Rust,,Apache v2,,,@PingCAP,,,,,,,,,,,,Skip List,,,,,,,,,,,,,,,,,,,Key-value,Y,tikv/agatedb,tikv,agatedb,Y
agedb,AGEDB,https://dbdb.io/db/agedb,https://dbdb.io/media/logos/agedb.svg,,AGEDB is the commercial version of PostgreSQL using the Apache AGE graph API extension.,Graph,"SQL,Cypher",,https://www.agedb.io/,https://www.agedb.io/,https://github.com/apache/age,https://age.apache.org/age-manual/master/,https://age.apache.org/age-manual/master/,AGEDB Technology Ltd.,CA,2019,,"Commercial,Open Source",C,C,,,PostgreSQL,Apache v2,,,@apache_age,,,"Claude,Copilot,Cursor",,,,,,,,,,,,,,,,,AgensGraph,,,,,,,,,Apache Software Foundation,,Graph,Y,apache/age,apache,age,Y
