attr_name,canonical_attr_name
Blog,Blog URL
Blog URL,Blog URL
Coding Agent,Coding Agent
Coding Agents,Coding Agent
Country,Country of Origin
Country of Origin,Country of Origin
Data Model,Data Model
Developer,Developer
Developers,Developer
Documentation,Documentation
Tech Docs,Documentation
Embedded,Embeds / Uses
Embeds / Uses,Embeds / Uses
End Year,End Year
Former Name,Former Name
Former Names,Former Name
License,Licenses
Licenses,Licenses
Operating System,Operating Systems
Operating Systems,Operating Systems
Programming Language,Programming Language
Written in,Programming Language
Project Type,Project Type
Project Types,Project Type
Query Interface,Query Interface
Source Code,Source Code
Source Repo URL,Source Code
Start Year,Start Year
Storage Architecture,Storage Architecture
Storage Model,Storage Model
Supported Languages,Supported Languages
Supported languages,Supported Languages
System Architecture,System Architecture
Tags,Tags
Twitter,Twitter
Website,Website URL
Website URL,Website URL
Wikipedia,Wikipedia URL
Wikipedia URL,Wikipedia URL
